fert,noninh,fertsub,hh_landaccess,numadults,district,hh_couple,sea_group,hh_number_cattle,hh_aindex,female_agriculture
0,0,1,0.625,1.8599999999999999,605,0,225,0,-0.31670427322387695,1
0,0,0,2.0250000000000004,3.6999999999999997,103,1,18,0,-0.1938706636428833,1
0,0,1,2,4.25,405,1,165,0,-0.4916630983352661,1
100,0,1,1.5,5.62,209,1,63,0,0.1536550521850586,1
100,0,1,4,8.079999999999998,602,1,207,0,-0.1938706636428833,1
0,0,1,0.625,7.859999999999999,602,1,207,0,-0.31670427322387695,1
0,0,1,0.625,0.74,606,0,231,0,-0.4916630983352661,1
250,0,1,7,6.859999999999999,609,1,259,0,-0.07103703171014786,1
0,0,1,0,4.14,610,0,261,0,-0.1938706636428833,1
400,1,0,3.5,5.84,605,1,222,0,0.27648866176605225,1
50,0,1,4.125,5.793333333333333,609,1,259,0,0.27648866176605225,1
0,1,0,0.75,3.43,609,1,258,0,-0.36882948875427246,1
0,0,1,5.5625,3.2716666666666665,403,0,156,0,-0.4916630983352661,1
0,1,1,0.25,1.7,602,0,205,0,-0.4916630983352661,1
0,1,1,3.875,3.7399999999999998,608,1,245,0,-0.07103703171014786,1
0,0,1,2.25,5.300000000000001,605,1,223,0,-0.1938706636428833,1
0,1,1,17.875,9.96,608,1,245,0,0.1536550521850586,1
0,0,1,2.3125,9.7875,402,1,141,0,-0.36882948875427246,1
0,0,1,4.125,4.9799999999999995,608,1,254,0,-0.1938706636428833,1
0,1,1,0.25,3.88,602,0,206,0,-0.4916630983352661,1
100,0,1,5.25,7.68,608,1,246,0,-0.1938706636428833,1
0,0,1,0.625,3.56,608,1,254,0,-0.36882948875427246,1
0,0,0,1.4975,4.799999999999999,103,1,18,0,0.6780763864517212,1
200,0,0,1.125,3,611,1,268,0,-0.4916630983352661,1
0,0,1,0.625,1.66,606,1,231,0,-0.36882948875427246,1
0,0,1,0.0625,5.1,204,1,47,0,0.7799348831176758,1
100,0,1,5.25,6.159999999999999,207,1,56,0,-0.36882948875427246,1
0,0,0,0,2.3000000000000003,602,1,203,0,-0.4916630983352661,1
0,0,1,2,7.52,611,1,267,0,-0.1938706636428833,1
0,1,0,0,4.47,103,1,20,0,3.545851945877075,1
0,0,1,1.625,4.38,608,1,246,0,-0.4916630983352661,1
100,1,1,1.2150000000000003,2.3466666666666667,103,1,14,0,-0.31670427322387695,1
0,1,0,3,6.130000000000001,902,0,365,0,0.24085593223571777,1
0,0,0,1.75,1.8199999999999998,605,1,224,0,-0.4916630983352661,1
0,0,1,1.25,3.12,605,1,229,0,-0.1938706636428833,1
0,0,1,1,2.38,608,1,246,0,-0.1938706636428833,1
0,0,0,1.715,7.279999999999999,610,1,264,0,-0.36882948875427246,1
220,0,1,3,1.88,608,0,247,0,-0.36882948875427246,1
0,0,1,3.625,7.14,608,1,247,0,-0.1938706636428833,1
0,0,1,1.5,5.390000000000001,611,1,272,0,0.03082142397761345,1
0,0,0,1.25,3.76,606,0,232,0,-0.31670427322387695,1
0,0,0,0.875,2.88,205,0,50,0,-0.1938706636428833,1
0,0,1,1.125,2.5,403,1,149,0,-0.1938706636428833,1
0,0,0,1.3125,3.7533333333333334,605,1,224,0,-0.1938706636428833,1
0,1,1,1.875,4.28,605,1,226,0,-0.31670427322387695,1
0,0,0,0.125,1.5099999999999998,602,0,203,0,-0.4916630983352661,1
0,0,0,2.75,3.3,609,1,255,0,-0.36882948875427246,1
0,0,1,2.625,6.68,405,1,166,0,-0.1938706636428833,1
0,1,1,0.875,0.82,606,0,233,0,-0.4916630983352661,1
400,0,0,9,6.050000000000001,406,0,169,0,0.644989550113678,1
0,0,0,1.625,4.6,611,1,268,0,-0.36882948875427246,1
0,0,1,1,3.54,605,0,225,0,-0.4916630983352661,1
0,0,0,16.75,5.08,405,0,164,0,-0.4916630983352661,1
0,0,1,1,3.08,608,1,249,0,-0.31670427322387695,1
200,0,1,23.5,7.800000000000001,609,1,257,14,-0.1938706636428833,1
0,0,0,7,6.52,604,1,220,0,-0.1938706636428833,1
0,0,0,0,1.44,802,1,312,0,-0.31670427322387695,1
0,0,0,5.125,6.16,604,1,220,0,-0.1938706636428833,1
0,0,0,0.25,2.92,602,1,203,0,-0.1938706636428833,1
0,0,0,0.75,3.1399999999999997,611,1,270,0,-0.36882948875427246,1
100,1,1,0.5,4.286666666666666,611,1,265,0,-0.1938706636428833,1
0,0,1,1.875,4.68,609,1,259,0,-0.1938706636428833,1
0,1,1,6.75,6.890000000000001,608,1,251,2,0.6180195808410645,1
0,0,0,1.5,5.08,604,1,217,0,-0.1938706636428833,1
200,0,0,2,4.46,609,1,255,0,-0.36882948875427246,1
0,0,1,1,2.92,606,1,231,0,-0.4916630983352661,1
100,1,1,0.5,3.1399999999999997,611,0,265,0,0.03082142397761345,1
400,0,0,0.6075,7.033333333333333,104,1,23,0,0.1536550521850586,1
0,0,0,1.8125,3.59,605,1,224,0,0.1536550521850586,1
0,0,1,5,3.5799999999999996,606,0,235,0,0.4786934554576874,1
1200,0,1,3,3.74,608,1,247,0,-0.1938706636428833,1
0,0,1,3.6875,5.640000000000001,603,1,214,0,-0.36882948875427246,1
0,0,1,6.3125,7.16,606,1,235,0,-0.36882948875427246,1
0,0,1,0.125,8.4,204,1,47,0,0.7799348831176758,1
400,0,1,10.75,3.42,204,1,48,0,0.4324091672897339,1
0,0,1,0.25,0.84,207,0,56,0,-0.4916630983352661,1
100,0,0,1,4.96,606,1,234,0,-0.31670427322387695,1
0,0,0,4.5,5.46,611,1,271,0,-0.4916630983352661,1
